,Country,Sex,Year,Obesity (%),Region,BMI
5030,Cook Islands,Female,2013,58.0 [50.5-65.2],Oceania,58.0
5031,Cook Islands,Both sexes,2014,54.9 [49.4-60.3],Oceania,54.9
5032,Cook Islands,Male,2014,51.3 [43.4-59.0],Oceania,51.3
5033,Cook Islands,Female,2014,58.4 [50.7-65.8],Oceania,58.4
5034,Cook Islands,Both sexes,2015,55.4 [49.8-61.0],Oceania,55.4
5035,Cook Islands,Male,2015,52.0 [43.8-59.8],Oceania,52.0
5036,Cook Islands,Female,2015,58.8 [51.0-66.3],Oceania,58.8
5037,Cook Islands,Both sexes,2016,55.9 [50.2-61.5],Oceania,55.9
5038,Cook Islands,Male,2016,52.6 [44.2-60.6],Oceania,52.6
5039,Cook Islands,Female,2016,59.2 [51.2-66.8],Oceania,59.2
7560,Fiji,Both sexes,1975,9.5 [5.4-14.9],Oceania,9.5
7561,Fiji,Male,1975,5.8 [2.1-12.0],Oceania,5.8
7562,Fiji,Female,1975,13.3 [6.4-22.8],Oceania,13.3
7563,Fiji,Both sexes,1976,9.8 [5.7-15.2],Oceania,9.8
7564,Fiji,Male,1976,6.0 [2.3-12.2],Oceania,6.0
7565,Fiji,Female,1976,13.8 [6.8-23.0],Oceania,13.8
7566,Fiji,Both sexes,1977,10.1 [6.0-15.4],Oceania,10.1
7567,Fiji,Male,1977,6.3 [2.5-12.3],Oceania,6.3
7568,Fiji,Female,1977,14.2 [7.3-23.2],Oceania,14.2
7569,Fiji,Both sexes,1978,10.5 [6.4-15.7],Oceania,10.5
7570,Fiji,Male,1978,6.5 [2.7-12.5],Oceania,6.5
7571,Fiji,Female,1978,14.6 [7.8-23.6],Oceania,14.6
7572,Fiji,Both sexes,1979,10.8 [6.7-16.0],Oceania,10.8
7573,Fiji,Male,1979,6.8 [2.8-12.7],Oceania,6.8
7574,Fiji,Female,1979,15.0 [8.2-23.7],Oceania,15.0
7575,Fiji,Both sexes,1980,11.2 [7.0-16.2],Oceania,11.2
7576,Fiji,Male,1980,7.0 [3.1-13.0],Oceania,7.0
7577,Fiji,Female,1980,15.5 [8.6-24.0],Oceania,15.5
7578,Fiji,Both sexes,1981,11.5 [7.4-16.5],Oceania,11.5
7579,Fiji,Male,1981,7.3 [3.3-13.2],Oceania,7.3
7580,Fiji,Female,1981,15.9 [9.0-24.4],Oceania,15.9
7581,Fiji,Both sexes,1982,11.9 [7.7-16.7],Oceania,11.9
7582,Fiji,Male,1982,7.6 [3.5-13.6],Oceania,7.6
7583,Fiji,Female,1982,16.4 [9.4-24.6],Oceania,16.4
7584,Fiji,Both sexes,1983,12.3 [8.1-17.1],Oceania,12.3
7585,Fiji,Male,1983,7.9 [3.7-13.8],Oceania,7.9
7586,Fiji,Female,1983,16.8 [9.9-24.8],Oceania,16.8
7587,Fiji,Both sexes,1984,12.6 [8.4-17.4],Oceania,12.6
7588,Fiji,Male,1984,8.2 [3.9-14.1],Oceania,8.2
7589,Fiji,Female,1984,17.2 [10.3-25.2],Oceania,17.2
7590,Fiji,Both sexes,1985,13.0 [8.8-17.8],Oceania,13.0
7591,Fiji,Male,1985,8.5 [4.2-14.4],Oceania,8.5
7592,Fiji,Female,1985,17.7 [10.8-25.6],Oceania,17.7
7593,Fiji,Both sexes,1986,13.4 [9.2-18.1],Oceania,13.4
7594,Fiji,Male,1986,8.8 [4.4-14.7],Oceania,8.8
7595,Fiji,Female,1986,18.2 [11.3-26.0],Oceania,18.2
7596,Fiji,Both sexes,1987,13.9 [9.6-18.6],Oceania,13.9
7597,Fiji,Male,1987,9.1 [4.7-15.1],Oceania,9.1
7598,Fiji,Female,1987,18.7 [11.7-26.5],Oceania,18.7
7599,Fiji,Both sexes,1988,14.3 [10.1-19.1],Oceania,14.3
7600,Fiji,Male,1988,9.5 [4.9-15.5],Oceania,9.5
7601,Fiji,Female,1988,19.2 [12.2-26.9],Oceania,19.2
7602,Fiji,Both sexes,1989,14.8 [10.5-19.6],Oceania,14.8
7603,Fiji,Male,1989,9.9 [5.2-15.9],Oceania,9.9
7604,Fiji,Female,1989,19.7 [12.8-27.5],Oceania,19.7
7605,Fiji,Both sexes,1990,15.3 [11.0-20.1],Oceania,15.3
7606,Fiji,Male,1990,10.3 [5.5-16.4],Oceania,10.3
7607,Fiji,Female,1990,20.3 [13.4-27.9],Oceania,20.3
7608,Fiji,Both sexes,1991,15.8 [11.5-20.6],Oceania,15.8
7609,Fiji,Male,1991,10.8 [5.9-16.9],Oceania,10.8
7610,Fiji,Female,1991,20.9 [13.9-28.5],Oceania,20.9
7611,Fiji,Both sexes,1992,16.4 [12.0-21.2],Oceania,16.4
7612,Fiji,Male,1992,11.2 [6.2-17.5],Oceania,11.2
7613,Fiji,Female,1992,21.5 [14.5-29.0],Oceania,21.5
7614,Fiji,Both sexes,1993,16.9 [12.5-21.8],Oceania,16.9
7615,Fiji,Male,1993,11.7 [6.6-18.1],Oceania,11.7
7616,Fiji,Female,1993,22.1 [15.1-29.6],Oceania,22.1
7617,Fiji,Both sexes,1994,17.5 [13.1-22.3],Oceania,17.5
7618,Fiji,Male,1994,12.2 [7.0-18.6],Oceania,12.2
7619,Fiji,Female,1994,22.8 [15.7-30.2],Oceania,22.8
7620,Fiji,Both sexes,1995,18.1 [13.6-22.9],Oceania,18.1
7621,Fiji,Male,1995,12.7 [7.4-19.2],Oceania,12.7
7622,Fiji,Female,1995,23.4 [16.4-30.8],Oceania,23.4
7623,Fiji,Both sexes,1996,18.7 [14.2-23.4],Oceania,18.7
7624,Fiji,Male,1996,13.3 [7.8-19.7],Oceania,13.3
7625,Fiji,Female,1996,24.0 [17.1-31.3],Oceania,24.0
7626,Fiji,Both sexes,1997,19.3 [14.7-24.0],Oceania,19.3
7627,Fiji,Male,1997,13.8 [8.3-20.2],Oceania,13.8
7628,Fiji,Female,1997,24.7 [17.7-31.9],Oceania,24.7
7629,Fiji,Both sexes,1998,19.9 [15.3-24.6],Oceania,19.9
7630,Fiji,Male,1998,14.3 [8.7-20.8],Oceania,14.3
7631,Fiji,Female,1998,25.3 [18.4-32.5],Oceania,25.3
7632,Fiji,Both sexes,1999,20.4 [15.8-25.3],Oceania,20.4
7633,Fiji,Male,1999,14.8 [9.2-21.4],Oceania,14.8
7634,Fiji,Female,1999,25.9 [19.1-33.1],Oceania,25.9
7635,Fiji,Both sexes,2000,21.0 [16.4-25.8],Oceania,21.0
7636,Fiji,Male,2000,15.4 [9.7-21.8],Oceania,15.4
7637,Fiji,Female,2000,26.5 [19.7-33.7],Oceania,26.5
7638,Fiji,Both sexes,2001,21.5 [16.9-26.4],Oceania,21.5
7639,Fiji,Male,2001,15.9 [10.2-22.5],Oceania,15.9
7640,Fiji,Female,2001,27.1 [20.4-34.1],Oceania,27.1
7641,Fiji,Both sexes,2002,22.1 [17.4-26.9],Oceania,22.1
7642,Fiji,Male,2002,16.5 [10.7-23.0],Oceania,16.5
7643,Fiji,Female,2002,27.6 [20.9-34.7],Oceania,27.6
7644,Fiji,Both sexes,2003,22.6 [18.0-27.4],Oceania,22.6
7645,Fiji,Male,2003,17.0 [11.2-23.5],Oceania,17.0
7646,Fiji,Female,2003,28.2 [21.5-35.3],Oceania,28.2
7647,Fiji,Both sexes,2004,23.2 [18.5-27.9],Oceania,23.2
7648,Fiji,Male,2004,17.6 [11.7-24.1],Oceania,17.6
7649,Fiji,Female,2004,28.7 [22.1-35.8],Oceania,28.7
7650,Fiji,Both sexes,2005,23.7 [19.0-28.5],Oceania,23.7
7651,Fiji,Male,2005,18.2 [12.2-24.8],Oceania,18.2
7652,Fiji,Female,2005,29.3 [22.7-36.2],Oceania,29.3
7653,Fiji,Both sexes,2006,24.3 [19.6-29.1],Oceania,24.3
7654,Fiji,Male,2006,18.7 [12.6-25.4],Oceania,18.7
7655,Fiji,Female,2006,29.8 [23.2-36.8],Oceania,29.8
7656,Fiji,Both sexes,2007,24.8 [20.0-29.6],Oceania,24.8
7657,Fiji,Male,2007,19.3 [13.2-26.0],Oceania,19.3
7658,Fiji,Female,2007,30.4 [23.8-37.3],Oceania,30.4
7659,Fiji,Both sexes,2008,25.4 [20.5-30.2],Oceania,25.4
7660,Fiji,Male,2008,19.9 [13.7-26.7],Oceania,19.9
7661,Fiji,Female,2008,30.9 [24.3-37.9],Oceania,30.9
7662,Fiji,Both sexes,2009,26.0 [21.0-30.9],Oceania,26.0
7663,Fiji,Male,2009,20.5 [14.1-27.4],Oceania,20.5
7664,Fiji,Female,2009,31.5 [24.7-38.6],Oceania,31.5
7665,Fiji,Both sexes,2010,26.5 [21.6-31.5],Oceania,26.5
7666,Fiji,Male,2010,21.1 [14.7-28.2],Oceania,21.1
7667,Fiji,Female,2010,32.0 [25.1-39.2],Oceania,32.0
7668,Fiji,Both sexes,2011,27.1 [22.1-32.1],Oceania,27.1
7669,Fiji,Male,2011,21.7 [15.2-28.9],Oceania,21.7
7670,Fiji,Female,2011,32.6 [25.5-39.9],Oceania,32.6
7671,Fiji,Both sexes,2012,27.7 [22.7-32.8],Oceania,27.7
7672,Fiji,Male,2012,22.4 [15.7-29.8],Oceania,22.4
7673,Fiji,Female,2012,33.1 [25.8-40.6],Oceania,33.1
7674,Fiji,Both sexes,2013,28.3 [23.2-33.6],Oceania,28.3
7675,Fiji,Male,2013,23.0 [16.1-30.7],Oceania,23.0
7676,Fiji,Female,2013,33.6 [26.2-41.2],Oceania,33.6
7677,Fiji,Both sexes,2014,28.9 [23.7-34.4],Oceania,28.9
7678,Fiji,Male,2014,23.7 [16.6-31.5],Oceania,23.7
7679,Fiji,Female,2014,34.2 [26.5-41.9],Oceania,34.2
